Symbol,Retinal_Cell_Type_Rob,Notes_on_Evidence_Source_Cell_Type
Muc1,"RGC candidate, amacrine",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Bach2os,,
Ikbkap,,
Armc12,,
C2cd4c,,
Akp3,,
Mtcl1,,
4930435E12Rik,,
Sowahc,,
Ric8b,,
Cabyr,,
RP24-407P20.1,,
BC025920,,
BC051537,RGC candidate,"SY TSNE cluster 64L contains 4 MHC H2 transcripts (PFDN6 + 3), DAXX (cell death), RING1 (cell stress, neurodevelopment), WDR46, SLC39A7 (zinc, stress, but this gene has low RGC/retina enrichement"
mmu-mir-6375,,
Vmn1r139,,
Mnat1,,
Ticam2,,
Gmppa,Unknown,
Gm15918,,
4833412C05Rik,,
Icam4,,
Rhobtb1,,
Tigd4,,
Xpnpep3,,
Aatf,,
Ripk3,,
Efhc1,,
Olfr1386,,
Pcdhb12,,
Sf3a2,,
Oxa1l,,
Tfap2d,Unknown,High covariation with Rbpms
Ceacam18,,
Pcdhb10,,
4930480K23Rik,,
Alppl2,,
Usmg5,,
Cfap53,,
A230009B12Rik,,
Ppp3r2,,
Nek6,,
Rb1cc1,,
Gm13442,,
Gm15998,,
Hgfac,,
Gm28294,,
Fancg,"RGC master, amacrine","RGC_Type_40, SY_informative"
Hagh,,
Gm13425,,
Cpsf7,,
H2-M10.6,,
AU041133,,
Cdc40,,
Rgs14,,
Mir3061,,
Vmn2r32,,
Gm26788,,
Abhd3,,
Mir151,,
Olfr129,,
Skor2,,
B230364G03Rik,,
Mir3082,,
Ssxb1,,
Ecscr,Endothelium,
A730061H03Rik,,
Bsx,,
Yipf7,,
A630023A22Rik,,
Tfpi,,
Rfxap,,
Gm5434,,
Slc25a28,,
Prps1l3,,
Atp9b,,
RP23-353M5.1,,
RP23-340E6.2,,
Grin2d,,
Mir7655,,
RP23-450O11.3,,
Hus1b,,
Mtif2,,
4930407I10Rik,,
Ptprg,"RGC mixed, stresed, endothelium",HIgh RGC expression in Pete Williams and stress-down response.
Zrsr1,,
1500004A13Rik,,
Gm12108,,
Grsf1,,
Olfr943,,
D8Ertd82e,,
Zfp748,,
Sh2d4b,,
Aldh1a3,,
1700040L02Rik,,
Uroc1,,
Snord91a,,
Zfp3,,
1700001O22Rik,,
Mhrt,,
Kcnk5,,
Gm16838,,
4930558J18Rik,,
Mas1,,
B230219D22Rik,,
4921517D22Rik,,
RP23-381K3.5,,
Cdkl3,,
Sdf2l1,,
Gm10435,,
Raet1e,,
Gpt,,
Rnf44,RGC candidate,BXD_Thy1_Cov
Dcaf10,,
RP23-112C14.1,,
4933406G16Rik,,
E2f3,,
RP23-210L10.2,,
4930440I19Rik,RGC candidate,SY TSNE cluster 90H. Moderate RGC/retina enrichment in Geisert
Sftpc,RGC candidate,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Dync2h1,,
Slc40a1,Endothelium,
Cnot7,,
Gm15283,,
Slc4a1ap,,
Ppapdc2,,
Krtap20-2,,
Ociad2,Fibroblast,
Lrfn4,,
Gm13601,,
Gm26903,,
Tmem246,SY_informative,SY_informative
Ccna2,,
Chst10,,
Olfr1033,,
Fam49b,Amacrine,
Gdf15,,
Entpd5,,
Gm26571,,
Jak3,,
Kank2,,
Gm28588,,
Apoa1,,
Hoxa11os,,
Gsto2,,
RP24-103L16.5,,
Prol1,,
Wdr55,,
Snord2,,
Mmp1a,,
Rad51c,,
Fam161b,,
Mstn,,
Ybx2,,
Sult1d1,,
B020004C17Rik,,
1700066B17Rik,,
Mir6899,,
Gpr137b-ps,,
Zfp114,,
Ppp1r16a,,
Csnk1g3,,
Sdhaf3,,
Myo1b,"RGC mixed, pericyte",
Gcsam,,
Podnl1,,
Dmrtc2,,
Mfsd2b,,
Gm26852,,
Npy1r,,
Dlk2,,
Mir7082,,
Zkscan16,,
Adck2,,
1700015F17Rik,,
4930524B15Rik,,
RP23-382O15.2,,
Mtmr9,,
Olfr330,,
Pgf,,
Il1f8,,
Traf1,,
Mir7578,,
9230112D13Rik,,
Gm16159,,
Orm2,,
Prrx2,,
Tbc1d22b,RGC prime candidate,High covariation with all core RGC reference genes
Vapa,,
Ltb4r1,,
Gm12018,,
Perp,,
Aifm3,,
Nmt2,,
Foxr1,,
Lrat,"RGC master, amacrine",RGC_Type_39
Cdkn2aipnl,,
4732471J01Rik,,
Slc15a3,,
Fam170a,,
Barhl1,RGC master,"RGC_Type_2_RT with BARHL1, FMO1 and LHX9. GENSAT highlights very slight label in optic tract and optic nerve (few hundred axons at most), and lovely cell, perhaps fiber, label in superior colliculus. Very low RGC/Retina enrichment in Geisert. Low retinal expression."
Suz12,,
1190007I07Rik,,
2610318N02Rik,,
Grk5,,
Zmat3,,
Orm3,,
1700039E22Rik,,
Zbtb49,,
Vmn1r4,,
Akr1c12,,Upregulated in D2 mutant relative to control by about a factor of 11.5650534255185
Slc5a5,,
Atad5,,
Npffr2,,
9030204H09Rik,,
Gjd4,,
Ireb2,,
Alms1,,
Acpt,,
Gm16066,,
Ankrd49,,
Tigd2,,
Mir6919,,
Pter,,
Foxd4,,
Pou4f3,RGC master low,"Rheaume RGC marker, PMID: 24318667, Rodriques 2014: POU-domain containing transcription factor proteins Brn3a (Pou4f1), Brn3b (Pou4f2) and Brn3c (Pou4f3) are exclusively expressed by RGCs in the mouse, rat and monkey retina, although they are not expressed in the entire RGC population (Xiang et al., 1995; Quina et al., 2005; Galindo-Romero et al., 2011; Nadal-Nicolás et al., 2012"
Dctn1,,
Olfr1373,,
Tgfa,,
Stx18,,
Coil,,
4933409G03Rik,,
Dkk4,,
Dclre1c,,
Taar7e,,
Gm10634,,
Spag11b,,
Tsc22d1,Amacrine,
Raph1,,
Ube2g1,,
Gm26752,,
Gm26550,,
Bbs9,,
Cxcr5,,
Gm5468,,
Pramel7,,
4933408B17Rik,,
Gprin2,,
Olfr1256,,
Gpr150,,
Orc6,,
Dnase1l2,,
Olfr920,,
RP24-535K22.2,,
Ngb,,
Dagla,RGC candidate,BXD_Thy1_Cov
Tssk6,,
2310058D17Rik,,
Zfp282,,
Saa2,RGC master,RGC_Type_8
Xxylt1,,
Rnmt,,
Olfr938,,
Rab11fip2,,
Cwf19l1,,
Zfp709,,
Mir1901,,
Gm28052,,
Agtr1a,,
Dancr,,
6330403K07Rik,Amacrine,
Zfp953,,
Mir6946,,
Fcna,,
Brsk1,,
Gm26741,,
Gdf7,,
Btrc,,
Enpp5,,
Tnni3,,
Il1r2,,
Gldnos,,
Sdc1,,
Sfta2,,
Cyct,,
Mrnip,RGC candidate,High covariation with Rbpms
4933433G15Rik,,
Asb13,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Lyrm7,,
Atf2,,
Iqgap1,Endothelium,
Gjc2,,
RP23-62E15.1,,
Urgcp,,
Ctsg,,
Lrrc15,,
E130307A14Rik,,
Serpinf1,"RGC candidate, stress",
1700047I17Rik2,,
Apob,,
Gm4461,,
Psmd1,,
Ciz1,,
Gm6899,,
Med6,,
Mir344f,,
Zfp609,,
Izumo1r,,
Hipk4,,
Dnah1,,
Gm27761,,
Slc39a4,,
Ucp1,,
Gm37127,,
Snhg6,,
Tmem236,,
Gsx2,,
Cadm2,Housekeeping,
Ssxb2,,
Thy1,RGC master,"Many sources, high covariation with Rbpms2 in Geisert MTA array, some expression in amacrine cells. Cepko in situ is lovely and very intense in RGCs and inner part of INL"
H2-T10,,
Cherp,,
Ceacam11,,
Qtrt1,,
Gm20538,RGC candidate Dec18,
Zfp719,,
Ankrd13b,RGC master,"Muzyky and Badea show RGC Pou4f1/Brn3a enriched gene, strongest early in development P0 to P7 and thereafter lower."
Mir3101,,
mmu-mir-1191b,,
Acp5,,
Gm17315,,
Olfr122,,
Gm19684,,
A430078G23Rik,,
Ubtfl1,,
Fignl1,,
Pi16,,
Eif5a2,RGC candidate,"HSA_ThyRbpms_Cov,  "
Nup43,,
Mrpl11,,
Cyp21a1,,
Pms1,RGC candidate,BXD_Thy1_Cov
Gm11413,RGC master,RGC_Type_27
Slc6a14,,
1700122O11Rik,,
Ccdc96,,
Cxx1a,RGC candidate Dec18,
Mb,,
Nms,,
Mccc1os,,
0610030E20Rik,,
B3gnt8,,
Crtc1,,
Erich5,,
Rhox4g,,
Gm17140,,
F830016B08Rik,,
Gzmb,,
Frmpd1,,
Thap8,,
Tmem190,,
Bcl6b,,
Olfr171,,
Myc,,
Dydc1,,
BC016579,,
Ghsr,,
Gnb5,,
4933405O20Rik,,
Ppp3r1,,
Tph1,,
Tekt1,,
Ppargc1b,,
Snora26,,
Tlr1,,
Zfp956,,
1700028J19Rik,,
Ugt2b34,,
Tmprss11e,Fibroblast,
4930528D03Rik,,
RP23-454A14.10,,
Usp34,Housekeeping,
Prrg1,,
Seh1l,,
Olfr1047,,
Aurkc,,
Mcemp1,,
Madcam1,,
Mllt10,,
Ppp2r1a,RGC prime candidate,"Geisert, High covariation with all core RGC reference genes except Jam2"
Prl,,
Chrnb2,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Olfr731,,Upregulated in D2 mutant relative to control by about a factor of 11.2633563796354
Gm15419,,
Slc25a2,,
Cyp2c37,,
Ifna4,,
Gsta1,,
Fam162b,,
Tspan17,,
Sympk,RGC candidate,BXD_Thy1_Cov
Proser1,,
Mup9,,
Olfr353,,
Txndc5,,
Sh3gl2,,
S100a5,,
Sgms1,,
Nt5dc3,,
Itm2c,Amacrine,
Smg9,,
Tmprss9,,
Gm10680,,
Pxt1,,
Fam8a1,,
Abcb8,,
AL590614.2,,
Tex10,,
Cfb,,
AA543186,,
Mss51,,
Gimap7,,
Tmem178,,
Cdca7,,
Mrpl15,,
Fkbp1b,RGC prime candidate,High covariation with RBPMS in Langer study of RGC type stem cells. No enrichment in RGC/Retinal ratio of Geisert
Tmem68,,
mmu-mir-7215,,
1700001L05Rik,,
Pax2,Astrocyte low,"Many, Chintalapudi 2015"
Rabep1,Horizontal,
Cdc5l,,
Gm19668,SY_informative,SY_informative
Mir7048,,
Ccdc166,,
Gp5,,
Cdkn2d,,
Ddhd2,,
Arl4c,Amacrine,
E230025N22Rik,,
Psma8,,
Mir195b,,
Smoc2,,
Olfr133,,
5730488B01Rik,,
Lrrc49,,
Snord98,,
Itk,,
1600014C10Rik,,
D730001G18Rik,,
V1rd19,,
Inafm1,,
Sapcd2,,
Ceacam1,,
Gm13734,,
Mir693,,
Ctu1,,
A430093F15Rik,,
Mir6385,,
Adat3,,
Nup35,,
Zdhhc19,,
Olfm4,,
Orc2,,
Cox10,,
Qrfp,,
Usp45,,
Lrrc10b,,
Abl1,,
Mir6387,,
Rufy3,,
AI317395,,
Ahcyl2,,
Olfr172,,
Fgf17,,
Olfr1394,,
Ppp1r14a,,
Lbx1,,
Gm2109,,
Tmem55a,,
Cox5a,"RGC candidate Dec18, horizontal",
Timmdc1,,
Xkr5,,
1700110C19Rik,,
Spinkl,,
3830417A13Rik,,
Gm26856,,
Pip5kl1,,
Ect2,,
Card10,,
Rhot1,,
Gm26648,,
Foxred1,,
Trim55,,
Il12rb2,,
Gm26724,,
Ccdc122,,
Fam26d,,
Snord65,,
Ecel1,,
Gm37710,,
AW554918,,
8030423F21Rik,,
Mov10l1,SY_informative,SY_informative
Hbegf,Amacrine,
mt-Tv,Mitochondrial,
Dnajb5,SY_informative,SY_informative
Clcn7,,
Fn1,"Muller, bipolar",
Champ1,,
Tsga13,,
Kcnk6,,
Plk5,Bipolar,
Platr4,,
A830052D11Rik,,
Gm7030,,
Mpnd,,
Haglr,,
Rangap1,,
Lrrc55,,
Mir335,,
Gm10658,,
Mir1187,,
Kifc1,,
Dusp13,,
Mir5101,,
Ptcra,,
Akr1c6,,
Gm25500,,
Birc6,,
Gm14461,,Upregulated in D2 mutant relative to control by about a factor of 9.99622878692646
Cnn1,,
Efhc2,,
Zfp708,,
Shisa7,RGC candidate,BXD_Thy1_Cov
Sox10,,
Dcaf4,,
Mcoln1,RGC candidate,BXD_Thy1_Cov
Mms19,,
Proc,,
Slc23a3,,
Mir7651,,
Arid4b,,
Htr1f,,
Trim31,,
4930539M17Rik,,
Dsp,,
Prr15,,
Gsdmc,,
Gm136,,
Fzd4,,
Gm16029,,
Bre,,
Tcf19,RGC candidate,High covariation with Tubb3
Apoa4,,
Cd28,,
Oxct1,,
Gm16568,,
Aqp3,,
Olfr134,,
Gtf2e2,,
Platr7,,
Eri1,,
Nus1,,
Jkamp,,
Csn3,,
Gm15929,,
Siglece,,
Adprhl1,,
Usp14,,
Fut2,,
AU022754,,
Mapre2,,
Gm20532,Endothelium candidate,
Emx2os,,
Upf1,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Agtpbp1,,
Iqcb1,,
Hinfp,,
Rem2,,
Cacna1h,,
Rangrf,,
Zfp541,,
C1qtnf5,,
Mir6538,,
Crhr2,Amacrine low,Macosko 2015
Tfpi2,,
Olfr1101,,
Mal2,,
Efna5,,
Vmn2r1,,
Wfdc17,,
Pira2,,
Gpatch4,,
St8sia5,,
Pcdhb6,,
Clec14a,Endothelium,
Mir1896,,
Klk12,,
Inpp5j,RGC candidate,"BXD_Thy1_CovHSA_ThyRbpms_Cov,  "
Heatr5b,,
Lypd6b,,
Prl8a8,,
Mtrf1l,,
Olfr1442,,
Mir6909,,
Crybg3,,
Tango2,,
Vmn1r74,,
Tarsl2,,
Gm4767,,
1700125H03Rik,,
Nudcd1,,
Gm13856,,
F930017D23Rik,,
Mphosph10,,
1700109I08Rik,,
Gm26857,,
Wnt8a,,
Gif,,
1700116B05Rik,,
Olfr112,,
Gm25047,,
Fbxo4,,
Prkcsh,,
Ercc6,,
Rhbdd1,,
Gm15834,,
Ccdc116,,
Gm31266,,
Asb6,,
Zbed4,,
Tifab,,
Otc,,
Tnip3,,
Gm17197,,
4930447C04Rik,Amacrine,
Irx2,RGC high THY/CD ratio,"Pinelli high r with RBPMS and Slc17a6 (both are Tran and Sanes panRGC markers), RGC high THY/CD ratio"
Ltc4s,Microglia,
Bcl2l2,,
Ankrd12,Housekeeping,
Psg18,,
Gm5591,,
Smg8,,
AC124745.1,,
Abcc1,,
Lrrd1,,
H2afy2,,
Coq4,RGC candidate,High covariation with Rbpms2
Rhox13,,
Pkd1,,
Lypd3,,
Myh2,RGC candidate,RGC_Type_32
Ctla2a,Endothelium,"SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, SY_informative"
Cul4b,,
Wfikkn1,,
Gabrp,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Utp14a,,
Ulk2,,
Aig1,,
Fbxo48,,
Tll2,,
Gm13288,,
Nup62,,
Arhgef6,,
Plxna4os1,,
Platr9,SY_informative,SY_informative
Mir7066,,
Usp11,Unknown,Geisert High covariation with NF eigengene
Akr1d1,,
Olfr1102,,
Krtap14,SY_informative,SY_informative
Vmo1,,
H2-T23,,
Sycp3,,
Fut4,Amacrine low,"This is CD15, aka Vc1.1 (antibody by Barnstable), well known amacrine cell marker, but not terribly selective (many papers), Chintalapudi 2015"
Nnmt,RGC master low,RGC_Type_5
Lysmd2,,
2500002B13Rik,,
Gm16726,,
Amdhd2,,
Smc6,,
Hhla1,,
Tle2,"RGC candidate, stress",
Fyb,"RGC candidate, stress, microglia",
Klc3,,
Gm10863,,
Adam5,,
Svs1,,
5730457N03Rik,,
Spryd7,,
Pxdc1,,
Gm12223,,
Tmprss5,,
Gm4262,,
Sos2,,
Smim9,,
mmu-mir-6906,,
Hoxa11,,
Ubd,,
Sema7a,,
Slc18b1,,
Dok3,,
Spata31d1c,,
Arhgap4,,
Ube2k,RGC candidate,BXD_Thy1_Cov
Afg3l2,,
Rbbp8,,
Gm9947,,
Fmr1os,,
Vmn1r21,,
Eaf2,,
Gm13262,,
4930509K18Rik,,
Col5a3,,
Grik4,,
Gm30097,,
Zfp729b,,
Peg10,,
mmu-mir-7650,,
Fbn2,Fibroblast,
Igf2bp3,,
Hdgfl1,,
Slc38a6,,
Tnfaip8l1,,
Carlr,,
Dgke,,
Fbxl15,,
Rfx8,,
Aplnr,Endothelium,
Nemf,,
Klk11,,
Kif23,,
Wdr93,,
Pm20d2,"RGC master, amacrine",RGC_Type_40
Myh4,,
Otof,,
Cybb,,
Gm16183,,
9430016H08Rik,,
Mfrp,,
Sp5,,
Kcnn4,,
Slc6a18,,
Hyal6,,
4930444P10Rik,,
Gm28496,,
Ncbp1,,
Cpa5,,
Ubqln4,RGC candidate,BXD_Thy1_Cov
Agap1,Amacrine,
Chrna5,RGC master,RGC_Type_23
Pcdhb5,,
C330011M18Rik,,
1700003M02Rik,,
Actn2,,
Rnaseh2b,,
Tmem203,,
Slc10a5,,
Gm15879,,
Lgi2,,
Zfp521,,
Il17a,,
Bcas3os1,,
Olfr412,,
Naa16,,
Dram1,,
Gm20356,,
Rab15,RGC candidate,"High covariation with Rbpms, HSA_ThyRbpms_Cov"
Slc46a2,,
Slc30a3,,
Gm22884,,
Serpinb1b,RGC master low,RGC_Type_20
Ccdc85b,,
Nxpe3,,
Spag6l,,
Mro,,
Mfn1,,
Orc4,RGC candidate,BXD_Thy1_Cov
Tmem154,,
Cyb5d1,,
Olfr1443,,
Mir5620,,
Mir155,,
Ahsg,,
Cyp2b19,,
Suv39h1,,
Stx8,,
Ublcp1,,
Gm15935,,
1700016L21Rik,,
1700094J05Rik,,
Ccdc89,,
Slc1a5,,
Cycs,,
Ppm1e,Housekeeping,
2410002F23Rik,,
Olfr1253,,
Pdgfb,,
Mir340,,
Tbpl1,,
Ssbp4,,
Sucnr1,,
Sh2d2a,,
Wfdc18,,
Mettl8,,
Zc3hav1l,,
Hoxa13,,
Mir6977,,
Lrfn3,,
Xpo4,,
Dnajb7,,
Aknaos,,
Col4a4,,
Gm20507,,
Kis2,,One of SY Dec18 clusters with Mir106a Mir18b Mir19b-2 Mir20b Mir363 and Mir92-2 
C1qtnf9,,Upregulated in D2 mutant relative to control by about a factor of 15.6882463859208
Gm12238,,
Ccna1,,
Cldn22,,
Htr1b,RGC candidate,High covariation with Rbpms2 in both Geisert and also in Lu Glaucoma-Aging
Klk10,,
Gabre,,
Gm16130,,
Olfr1040,,
Gm9839,,
Dnd1,,
Igf2r,,
Il9r,,
Galnt15,Amacrine low,
Maf1,,
Wdr81,,
Erap1,,
Ppp6r2,,
Mob3a,,
Gm11548,,
Olfr1257,,
Fhl4,,
Gm10125,,
Cadm4,,
Apbb2,RGC master,"Macosko RGC, Wiki_RGC, No support for RGC in Pinelli"
Pitpnm3,,
D030040B21Rik,,
Opa1,Unknown,http://brain.oxfordjournals.org/content/135/2/493
4732463B04Rik,,
Gm17644,,
Fam178a,,
Ostm1,Unknown,
Olfr917,,
Gm1141,,
Kdm6a,,
Dnmt3aos,,
Rad23b,,
Zfp759,,
Adrb2,,
Trim43b,,
Trem1,,
Gm5916,,
Defb12,,
1700001G11Rik,,
Psmc2,,
Msh2,,
Hat1,,
Stra6l,,
Atoh7,RGC low,"PMC4885909, RGC developmental"
Olfr1124,,
F11,,
Mir3094,,
Gm37988,,
Pip4k2a,Amacrine,
Syne4,,
Olfr94,,
Lhx6,,
Ankrd6,RGC master,RGC_Type_25 
Efr3a,Amacrine,
Filip1,,
Abcc5,,
Gna15,SY_informative,SY_informative
Gm26821,,
Klhl6,,
Tbc1d2b,,
Mcpt9,,
Prl8a9,,
3110001I22Rik,,
Olfr95,,
Gm27176,,
Tmem100,,
Gm16401,,
Klk14,,
Parvg,,
Srp72,,
Taf3,,
Tacstd2,,
Olfr372,,
Chat,Amacrine low,"Many, Macosko 2015 Cluster3, Chat is coexpressed with Gad1 but not Gad2. GENSAT shows a small level of Chat expression in optic tract/optic nerve, suggesting some RGCs may express Chat."
Gm27671,,
Xpo7,,
Copg1,RGC candidate,BXD_Thy1_Cov
Slc4a3,"Horizontal, RGC candidate",BXD_Thy1_Cov
Net1,RGC candidate,RGC_Type_32
Prr11,,
Sftpa1,RGC low,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Gm12530,,
Gm19518,,
P2rx6,,
Pcnxl4,,
Dnajc5g,,
Slmo1,,
Odf3l2,,
Jrkl,,
Vmn2r105,,Upregulated in D2 mutant relative to control by about a factor of 24.6385920804525
Gm15917,,
Heca,,
Klk1b4,,
Angptl4,,
Heatr1,"RGC master, amacrine",RGC_Type_40
A930024N18Rik,,
Uchl4,,
4833427F10Rik,,
Vmn1r204,,
Hapln2,,
Lhx1,Horizontal,"Many, Chintalapudi 2015, Tran and Sanes 2019"
Zbtb44,,
Gm14820,,
Tmem45a,,
Mmp1b,,
RP24-482F14.1,,
Daxx,RGC prime candidate,"SY TSNE cluster 64L contains 4 MHC H2 transcripts (PFDN6 + 3), DAXX (cell death), RING1 (cell stress, neurodevelopment), WDR46, SLC39A7 (zinc, stress)"
Skor1,,
4430402I18Rik,,
Gm15179,,
Fam228b,,
Krtap15,SY_informative,SY_informative
Tslp,,
Kng1,,
Mir6966,,
Ugt1a2,,
Gpnmb,Unknown,Glaucoma
Edar,,
Gm27838,,
Polr3b,,
Nabp1,,
Bach1,,
Mir5112,,
Ap2b1,,
Olfr90,,
Cdca5,,
Klk4,,
1700047A11Rik,,
Fbp1,,
Gm17133,,
Pcdh1,,
Cd3d,,
Zfp148,,
Zfp146,,
Pgm1,,
Prl2c1,,
4930453N24Rik,,
Gm26800,,
Vmn1r67,,
Ppa1,,
Rnf14,RGC prime candidate,"Geisert, High covariation with all core RGC reference genes except Jam2"
Amh,,
Fcer2a,,
Lmln,,
Foxe1,,
Olfr1100,,
T,,
BC089491,,
C330027C09Rik,,
Tmem169,,
Arhgef18,,
RP24-226D9.3,,
Lancl3,,
Rcor2,,
Itpr3,,
Efcab1,,
Vmn2r82,,
Arl14epl,,
Sucla2,,
Gcnt3,,
G6pd2,,
Fam92a,,
Doc2g,,
Gm20835,,
Nfxl1,,
Spata31d1a,,
Ttc41,,
Isx,,
Gm7168,,
Spns3,,
Gm15868,,
Maoa,Endothelium,
Eif2ak3,,
Tmem216,,
Map2,Unknown,
Gm13179,,
Ggt5,,
Ipcef1,,
Apcdd1,,
A330041J22Rik,,
Gm11128,,
G630030J09Rik,,
Kctd17,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Fancf,,
Mirlet7c-2,,
Slc22a28,,
Postn,RGC master,RGC_Type_18
Cacng8,,
Olfr862,RGC candidate,
Otx1,,
Nek4,,
Gm12610,RGC candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. Very low RGC/retina enrichment in Geisert and very high retinal expression very high"
Gm28289,,
H2-M10.4,,
BC037039,,
Slfn1,,
Mir7040,,
Catsper3,,
Adamts12,,
Ercc2,,
Tubgcp6,,
Spata13,RGC master,RGC_Type_37
Synpo,RGC master,RGC_Type_11
Mars2,,
RP23-352G19.2,,
Mcm5,,
Wdr74,,
Akap4,,
Hpgds,Microglia,SY adult sc_RNA-seq cluster 32 high = microglia
Fndc9,,
4930597A21Rik,,
Olfr168,,
Krtap24-1,,
Olfr461,,
Lypla1,,
Plrg1,,
Znrf2,,
Mbip,,
Fip1l1,,
Gm20671,,
Armt1,,
Nhlrc1,,
Gm15217,,
Spink5,,
Olfr1105,,
Spata31d1b,,
Itgae,,
Cyp2d40,,
Mslnl,,
Msr1,,
Secisbp2,,
Gm12128,,
1700020N01Rik,,
Ice1,,
Cacna1i,,
Gm10244,,
Gata4,,
Fez1,Amacrine,
Usp26,,
Bzrap1,,
1700074P13Rik,,
1810062G17Rik,,
Olfr1056,,
Aard,,
1700027H10Rik,,
Kcnj4,,
Olfr97,,
Trmt44,,
Mkrn3,,
Olfr1255,,
Kcnk18,,
Gm20528,,Upregulated in D2 mutant relative to control by about a factor of 10.3984915147706
Vmn1r181,,
Kcns2,,
Ints9,RGC prime candidate,High covariation with Tubb3
1700001G17Rik,,
Baz1a,"RGC master, amacrine",RGC_Type_39
Btnl6,,
Ascl1,,
Fam169b,,
Mef2c,"RGC master, amacrine, pericyte","Conflict with Rheaume, RGC_Type_27 but Macosko as pericyte marker. We see high expression in CD15+ cels"
Csn1s1,,
Olfr1228,,
Hspa13,,
Tpm1,"RGC mixed, amacrine, horizontal",
Odf3b,,
Gm13449,,
Acsl5,,
Clcn1,,
Pcdhb22,"RGC candidate, stress",
Hoxd4,,
Ifna2,,
Car4,,
Eme2,,
Antxrl,,
Matn3,,
Olfr167,,
Drd5,RGC master low,RGC_Type_31
Ankrd24,,
Cyp2g1,,
Bmp10,,
Mfsd6,RGC reference,"BXD_Thy1_Cov, Support for RGC or amacrine in Pinelli"
Olfr329-ps,,
Olfr5,,
Cnfn,,
4933430I17Rik,,
Odf1,,
Col15a1,,
Ankrd33b,,
Pantr2,,
2310065F04Rik,,
Rhox12,,
Treml2,,
Efr3b,RGC candidate,BXD_Thy1_Cov
Rpia,,
Ttc26,,
Nt5c2,,
Mir5106,,
Trappc12,,
Shh,RGC candidate,"Wiki_RGC,  "
Bend4,RGC master,RGC_Type_15
Pgrmc1,"RGC candidate, horizontal",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Ank,,
Dazl,,
Map2k4,,
R3hcc1,,
Npbwr1,,Upregulated in D2 mutant relative to control by about a factor of 10.1571338780641
Hist1h2ag,,
Pabpc6,,
Cwh43,,
4930578I06Rik,,
Olfr1055,,
Mir1947,,
Pcdhb3,,
Gm15962,,
Gm527,,
Olfr352,,
Cd200r1,,
Ptges,,
Pigw,,
Impa2,,
Mir709,,
Mtpap,,
Amica1,,
A230028O05Rik,,
Lama1,,
Gm15336,,
Dyx1c1,,
Ifnk,,
2410006H16Rik,,
Gm26592,,
Ehd2,,
Smad2,RGC master,"PMID: 24318667, Rodriques 2014: In addition, Math5, a bHLH factor specifies RGCs early in embryogenesis (Brown et al., 2001; Wang et al., 2001). Other transcription factors, including Tbx5, Smad2 and 5330410G16Rik may also be exclusively expressed in RGCs based on their strong presence in the GCL of the embryonic mouse retina (Diez-Roux et al., 2011)."
Rogdi,,
RP24-394C15.7,,
A630010A05Rik,,
Tusc5,RGC master,"RGC_Type_4 with 7 other genes; Geisert, High covariation with NF eigengene and with Macosko RGC39 eigengene, High covariation in Lu Glaucoma-Aging retina data set. Muzyky and Badea as very strongly linked to Pou4f1/Brn3a type RGC."
Gm14379,,
Gm1553,,
Prop1,,
Mmp3,,
Exoc2,,
Scpep1os,,
Akap14,,
4930443O20Rik,,
Ubr3,,
mmu-mir-126b,Endothelium candidate,
Samd15,,
Raet1d,,
Kctd18,,
Angptl2,RGC master,RGC_Type_25 
Olfr58,,
Prss39,,
Angptl6,,
Mypopos,,
Gm26859,,
Prr14l,,
Gm20594,,
Cdk5,,
Obp1b,,
Lyst,,
Eml2,,
1700012B09Rik,,
Ndufa5,,
Psme4,,
Dqx1,,
A4galt,,
Tbx4,,
Tbc1d8,,
Olfr1109,,
Gm6696,,
Myl1,,
Lonrf1,,
Slc22a30,,
Mir124a-1,,
Grb14,,
Zfp300,,
Mrgprh,,
Sox17,,
Olfr395,,
Slc35b4,,
Ints8,RGC candidate,BXD_Thy1_Cov
Neurog1,,
Gm15978,,
Mecp2,,
Klb,,
Olfr1141,,
1700086O06Rik,,
RP24-179P9.2,,
Fgg,,
Fam129c,,
Fam46a,,
Dusp21,,
Fndc1,SY_informative,SY_informative
Vmn2r112,,
9530027J09Rik,,
Treml4,,
Brix1,,
Pex5l,,
Mir3092,,
D130043K22Rik,,
Calml3,,
Intu,,
Gm94,,
Zfp358,,
Thoc1,,
Dmc1,,
Olfr1513,,
Gm12144,,
Zfp868,,
